date,value
2009-05-14,0.016
2009-05-15,0.016
2009-05-16,0.017
2009-05-17,0.02
2009-05-18,0.019
2009-05-19,0.019
2009-05-20,0.018
2009-05-21,0.02
2009-05-22,0.022
2009-05-23,0.027
2009-05-24,0.023
2009-05-25,0.02
2009-05-26,0.019
2009-05-27,0.022
2009-05-28,0.024
2009-05-29,0.026
2009-05-30,0.024
2009-05-31,0.026
2009-06-01,0.029
2009-06-02,0.041
2009-06-03,0.03
2009-06-04,0.028
2009-06-05,0.026
2009-06-06,0.025
2009-06-07,0.029
2009-06-08,0.027
2009-06-09,0.026
2009-06-10,0.033
2009-06-11,0.028
2009-06-12,0.032
2009-06-13,0.032
2009-06-14,0.036
2009-06-15,0.032
2009-06-16,0.05
2009-06-17,0.048
2009-06-18,0.038
2009-06-19,0.035
2009-06-20,0.034
2009-06-21,0.032
2009-06-22,0.031
2009-06-23,0.031
2009-06-24,0.029
2009-06-25,0.043
2009-06-26,0.053
2009-06-27,0.043
2009-06-28,0.039
2009-06-29,0.049
2009-06-30,0.04
2009-07-01,0.039
2009-07-02,0.048
2009-07-03,0.04
2009-07-04,0.037
2009-07-05,0.056
2009-07-06,0.299
2009-07-07,0.375
2009-07-08,0.544
2009-07-09,0.69
2009-07-10,0.626
2009-07-11,0.548
2009-07-12,0.481
2009-07-13,0.428
2009-07-14,0.389
2009-07-15,0.351
2009-07-16,0.311
2009-07-17,0.274
2009-07-18,0.244
2009-07-19,0.288
2009-07-20,0.323
2009-07-21,0.292
2009-07-22,0.273
2009-07-23,0.256
2009-07-24,0.254
2009-07-25,0.232
2009-07-26,0.225
2009-07-27,0.203
2009-07-28,0.183
2009-07-29,0.166
2009-07-30,0.144
2009-07-31,0.122
2009-08-01,0.106
2009-08-02,0.092
2009-08-03,0.101
2009-08-04,0.138
2009-08-05,0.126
2009-08-06,0.127
2009-08-07,0.122
2009-08-08,0.104
2009-08-09,0.093
2009-08-10,0.081
2009-08-11,0.08
2009-08-12,0.099
2009-08-13,0.074
2009-08-14,0.064
2009-08-15,0.056
2009-08-16,0.047
2009-08-17,0.04
2009-08-18,0.047
2009-08-19,0.051
2009-08-20,0.039
2009-08-21,0.037
2009-08-22,0.035
2009-08-23,0.035
2009-08-24,0.034
2009-08-25,0.033
2009-08-26,0.032
2009-08-27,0.031
2009-08-28,0.03
2009-08-29,0.029
2009-08-30,0.03
2009-08-31,0.029
2009-09-01,0.028
2009-09-02,0.027
2009-09-03,0.028
2009-09-04,0.027
2009-09-05,0.029
2009-09-06,0.032
2009-09-07,0.03
2009-09-08,0.028
2009-09-09,0.027
2009-09-10,0.026
2009-09-11,0.027
2009-09-12,0.037
2009-09-13,0.032
2009-09-14,0.028
2009-09-15,0.026
2009-09-16,0.025
2009-09-17,0.026
2009-09-18,0.025
2009-09-19,0.025
2009-09-20,0.025
2009-09-21,0.025
2009-09-22,0.024
2009-09-23,0.024
2009-09-24,0.023
2009-09-25,0.024
2009-09-26,0.023
2009-09-27,0.023
2009-09-28,0.023
2009-09-29,0.023
2009-09-30,0.024
2009-10-01,0.024
2009-10-02,0.027
2009-10-03,0.032
2009-10-04,0.029
2009-10-05,0.027
2009-10-06,0.028
2009-10-07,0.031
2009-10-08,0.032
2009-10-09,0.031
2009-10-10,0.03
2009-10-11,0.029
2009-10-12,0.033
2009-10-13,0.034
2009-10-14,0.033
2009-10-15,0.059
2009-10-16,0.051
2009-10-17,0.047
2009-10-18,0.043
2009-10-19,0.046
2009-10-20,0.046
2009-10-21,0.05
2009-10-22,0.048
2009-10-23,0.042
2009-10-24,0.049
2009-10-25,0.056
2009-10-26,0.061
2009-10-27,0.064
2009-10-28,0.057
2009-10-29,0.062
2009-10-30,0.062
2009-10-31,0.062
2009-11-01,0.066
2009-11-02,0.053
2009-11-03,0.034
2009-11-04,0.034
2009-11-05,0.038
2009-11-06,0.038
2009-11-07,0.038
2009-11-08,0.038
2009-11-09,0.043
2009-11-10,0.06
2009-11-11,0.057
2009-11-12,0.057
2009-11-13,0.058
