"","id","lu_mgt","et_check","eplant_check","sw_check","cn_check","et","eplant","esoil","cn","sw_final"
"5672",8868,"field_8877_drn_lum_8868_1",NA,"eplant < esoil",NA,NA,469.004,212.855,247.427,64.286,175.081
"5673",8870,"field_8879_drn_lum_8870_1",NA,"eplant < esoil",NA,NA,472.094,219.412,243.061,64.241,201.039
"5674",8874,"field_8883_drn_lum_8874_1","et < 98% precip",NA,NA,NA,500.44,270.642,207.951,72.746,58.943
"5675",8877,"field_8886_drn_lum_8877_1",NA,"eplant < esoil",NA,NA,486.166,224.635,242.819,51.629,119.855
"5676",8878,"field_8887_drn_lum_8878_1",NA,"eplant < esoil",NA,NA,486.701,229.232,237.581,51.629,124.364
"5677",8879,"field_8888_drn_lum_8879_1",NA,"eplant < esoil",NA,NA,478.417,198.658,272.282,51.725,88.031
"5678",8880,"field_8889_drn_lum_8880_1",NA,"eplant < esoil",NA,NA,482.538,209.102,267.252,51.752,115.167
"5679",8881,"field_8890_drn_lum_8881_1",NA,"eplant < esoil",NA,NA,479.519,208.191,262.174,51.779,171.992
"5680",8882,"fesc_drn_lum_8882_1",NA,NA,NA,"cn < 35",492.048,332.859,84.95,12.24,62.156
"5681",8883,"fesc_drn_lum_8883_1",NA,NA,NA,"cn < 35",488.6,332.389,82.17,12.237,59.958
"5682",8885,"field_8894_drn_lum_8885_1",NA,"eplant < esoil",NA,NA,483.051,222.618,251.388,64.139,134.682
"5683",8886,"field_8895_drn_lum_8886_1",NA,"eplant < esoil",NA,NA,478.769,218.404,243.782,64.114,101.2
"5684",8889,"field_8898_drn_lum_8889_1",NA,"eplant < esoil",NA,NA,472.723,217.506,246.717,72.95,64.113
"5685",8894,"field_8903_drn_lum_8894_1",NA,"eplant < esoil",NA,NA,460.869,216.453,233.792,73.086,189.245
"5686",8897,"field_8906_drn_lum_8897_1",NA,"eplant < esoil",NA,NA,473.985,228.596,237.506,72.895,101.684
"5687",8900,"field_8909_drn_lum_8900_1",NA,"eplant < esoil",NA,NA,476.454,222.282,247.011,64.089,61.52
"5688",8901,"field_8910_drn_lum_8901_1",NA,"eplant < esoil",NA,NA,474.28,188.36,272.616,72.903,109.685
"5689",8903,"field_8912_drn_lum_8903_1",NA,"eplant < esoil",NA,NA,475.401,198.692,265.956,72.963,102.416
"5690",8904,"field_8913_drn_lum_8904_1",NA,"eplant < esoil",NA,NA,480.685,203.552,270.472,72.924,82.889
"5691",8905,"field_8914_drn_lum_8905_1",NA,"eplant < esoil",NA,NA,482.287,192.267,285.145,73.009,123.059
"5692",8906,"field_8915_drn_lum_8906_1",NA,"eplant < esoil",NA,NA,480.78,169.24,303.601,72.992,78.508
"5693",8907,"field_8916_drn_lum_8907_1",NA,"eplant < esoil",NA,NA,476.854,199.207,272.428,73.039,93.898
"5694",8908,"alfa_drn_lum_8908_1",NA,NA,NA,"cn < 35",490.732,256.445,186.99,12.246,65.875
"5695",8909,"alfa_drn_lum_8909_1",NA,NA,NA,"cn < 35",442.202,225.279,169.654,12.195,67.957
"5696",8910,"field_8919_drn_lum_8910_1",NA,"eplant < esoil",NA,NA,487.411,168.954,311.168,64.226,86.074
"5697",8911,"field_8920_drn_lum_8911_1",NA,"eplant < esoil",NA,NA,488.687,239.113,240.259,73.094,147.063
"5698",8912,"field_8921_drn_lum_8912_1",NA,"eplant < esoil",NA,NA,477.581,212.201,257.895,64.195,137.765
"5699",8913,"field_8922_drn_lum_8913_1",NA,"eplant < esoil",NA,NA,476.893,169.633,299.052,51.871,136.738
"5700",8917,"field_8926_drn_lum_8917_1",NA,"eplant < esoil",NA,NA,474.385,165.691,298.089,64.185,118.649
"5701",8925,"field_8934_drn_lum_8925_1",NA,"eplant < esoil",NA,NA,461.939,220.243,227.484,72.852,170.117
"5702",8928,"field_8937_drn_lum_8928_1",NA,"eplant < esoil",NA,NA,477.908,177.907,287.582,51.849,154.464
"5703",8929,"field_8938_drn_lum_8929_1",NA,"eplant < esoil",NA,NA,485.509,232.207,244.812,64.028,67.35
"5704",8930,"field_8939_drn_lum_8930_1",NA,"eplant < esoil",NA,NA,476.859,228.868,234.761,64.038,140.817
"5705",8931,"field_8940_drn_lum_8931_1",NA,"eplant < esoil",NA,NA,476.825,176.47,291.743,51.854,163.992
"5706",8932,"fesc_drn_lum_8932_1",NA,NA,NA,"cn < 35",484.088,328.832,82.823,12.238,61.116
"5707",8933,"field_8942_drn_lum_8933_1",NA,"eplant < esoil",NA,NA,469.569,145.99,314.886,51.865,133.397
"5708",8934,"field_8943_drn_lum_8934_1",NA,"eplant < esoil",NA,NA,471.622,186.86,279.335,51.795,83.028
"5709",8935,"field_8944_drn_lum_8935_1",NA,"eplant < esoil",NA,NA,478.716,198.109,271.693,64.19,106.132
"5710",8936,"field_8945_drn_lum_8936_1",NA,"eplant < esoil",NA,NA,483.516,211.476,254.863,51.672,58.367
"5711",8939,"field_8948_drn_lum_8939_1",NA,"eplant < esoil",NA,NA,478.113,205.777,265.88,51.742,105.795
"5712",8940,"field_8949_drn_lum_8940_1",NA,"eplant < esoil",NA,NA,476.176,185.852,284.342,51.811,116.933
"5713",8941,"field_8950_drn_lum_8941_1",NA,"eplant < esoil",NA,NA,467.211,149.895,310.103,78.837,95.685
"5714",8942,"field_8951_drn_lum_8942_1",NA,"eplant < esoil",NA,NA,485.177,184.896,293.538,64.2,59.582
"5715",8943,"field_8952_drn_lum_8943_1",NA,"eplant < esoil",NA,NA,476.94,204.674,255.349,51.618,99.021
"5716",8944,"field_8953_drn_lum_8944_1",NA,"eplant < esoil",NA,NA,417.815,140.475,267.235,51.253,89.046
"5717",8946,"field_8955_drn_lum_8946_1",NA,"eplant < esoil",NA,NA,417.039,150.946,252.555,78.347,67.199
"5718",8947,"field_8956_drn_lum_8947_1",NA,"eplant < esoil",NA,NA,476.177,203.403,261.445,51.693,112.793
"5719",8951,"alfa_drn_lum_8951_1","et < 98% precip",NA,NA,NA,515.463,277.489,190.661,62.459,70.423
"5720",8952,"alfa_drn_lum_8952_1",NA,NA,NA,"cn < 35",490.797,258.686,186.235,12.25,66.085
"5721",8953,"field_8962_drn_lum_8953_1",NA,"eplant < esoil",NA,NA,481.386,211.345,263.123,51.747,152.755
"5722",8954,"field_8963_drn_lum_8954_1",NA,"eplant < esoil",NA,NA,473.325,181.886,284.612,51.779,107.342
"5723",8955,"field_8964_drn_lum_8955_1",NA,"eplant < esoil",NA,NA,476.282,188.896,281.4,51.774,103.22
